"date","User full name","max(time) - min(time)","Active hours","Grade"
"47",2022-09-21,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",24204,6.72333333333333,"10th"
"48",2022-09-27,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",387,0.1075,"10th"
"49",2022-10-05,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",3037,0.843611111111111,"10th"
"50",2022-10-12,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",35286,9.80166666666667,"10th"
"51",2022-11-02,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",3021,0.839166666666667,"10th"
"52",2022-11-09,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",3750,1.04166666666667,"10th"
"53",2022-11-15,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",3071,0.853055555555556,"10th"
"54",2022-11-16,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",4084,1.13444444444444,"10th"
"55",2022-11-30,"1e75b5f24603e520e9e0e265014665a04380b04fc06155952f6f5da52efdfec6",2918,0.810555555555556,"10th"
"56",2022-09-10,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",430,0.119444444444444,"10th"
"57",2022-09-11,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",22,0.00611111111111111,"10th"
"58",2022-09-12,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",31149,8.6525,"10th"
"59",2022-09-13,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",5508,1.53,"10th"
"60",2022-09-14,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",33251,9.23638888888889,"10th"
"61",2022-09-20,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",9043,2.51194444444444,"10th"
"62",2022-09-21,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",40875,11.3541666666667,"10th"
"63",2022-09-22,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",22,0.00611111111111111,"10th"
"64",2022-09-26,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",4852,1.34777777777778,"10th"
"65",2022-09-27,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",7897,2.19361111111111,"10th"
"66",2022-09-28,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",34320,9.53333333333333,"10th"
"67",2022-09-29,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",1403,0.389722222222222,"10th"
"68",2022-10-04,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",31000,8.61111111111111,"10th"
"69",2022-10-05,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",13678,3.79944444444444,"10th"
"70",2022-10-08,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",301,0.0836111111111111,"10th"
"71",2022-10-10,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",17343,4.8175,"10th"
"72",2022-10-11,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",12032,3.34222222222222,"10th"
"73",2022-10-12,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",2655,0.7375,"10th"
"74",2022-10-19,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",1080,0.3,"10th"
"75",2022-10-21,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",31252,8.68111111111111,"10th"
"76",2022-11-02,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",2290,0.636111111111111,"10th"
"77",2022-11-06,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",185,0.0513888888888889,"10th"
"78",2022-11-08,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",8618,2.39388888888889,"10th"
"79",2022-11-09,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",3304,0.917777777777778,"10th"
"80",2022-11-15,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",10165,2.82361111111111,"10th"
"81",2022-11-16,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",10131,2.81416666666667,"10th"
"82",2022-11-28,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",745,0.206944444444444,"10th"
"83",2022-11-29,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",6334,1.75944444444444,"10th"
"84",2022-11-30,"223a7877674e21d3e0a0af575e33f526b685dcb2a948c9f5720e01226fb4b896",3919,1.08861111111111,"10th"
"85",2022-09-08,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",1577,0.438055555555556,"10th"
"86",2022-09-14,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",1746,0.485,"10th"
"87",2022-09-20,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",2786,0.773888888888889,"10th"
"88",2022-09-27,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",3251,0.903055555555556,"10th"
"89",2022-09-28,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",1617,0.449166666666667,"10th"
"90",2022-10-05,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",28465,7.90694444444444,"10th"
"91",2022-10-18,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",12596,3.49888888888889,"10th"
"92",2022-11-09,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",32953,9.15361111111111,"10th"
"93",2022-11-16,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",2868,0.796666666666667,"10th"
"94",2022-11-29,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",16091,4.46972222222222,"10th"
"95",2022-11-30,"27c6e4072ce7dfe49c4271c043d4e86bb434aed8decb1d1c9e0a955242bc1ad4",2414,0.670555555555556,"10th"
"96",2022-09-13,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",26949,7.48583333333333,"10th"
"97",2022-09-15,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",35443,9.84527777777778,"10th"
"98",2022-09-16,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",14295,3.97083333333333,"10th"
"99",2022-09-17,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",149,0.0413888888888889,"10th"
"100",2022-09-21,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",119,0.0330555555555556,"10th"
"101",2022-09-22,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",1978,0.549444444444444,"10th"
"102",2022-09-23,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",7528,2.09111111111111,"10th"
"103",2022-09-28,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",6000,1.66666666666667,"10th"
"104",2022-09-30,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",438,0.121666666666667,"10th"
"105",2022-10-05,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",16670,4.63055555555556,"10th"
"106",2022-10-06,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",1701,0.4725,"10th"
"107",2022-10-07,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",342,0.095,"10th"
"108",2022-10-12,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",1053,0.2925,"10th"
"109",2022-10-14,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",2284,0.634444444444444,"10th"
"110",2022-10-25,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",6,0.00166666666666667,"10th"
"111",2022-11-03,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",14,0.00388888888888889,"10th"
"112",2022-11-04,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",570,0.158333333333333,"10th"
"113",2022-11-10,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",1218,0.338333333333333,"10th"
"114",2022-11-11,"27ea40ed75c83903c4ea99670f818cd8bbd7a446d910530aef9c9d90e1b220d7",469,0.130277777777778,"10th"
